Traditional,Simplified,Pinyin,Definition,rank
問題,问题,wèntí,"problem, mishap, query, job, interface, question, inquiry, matter, enquiry, trouble, issue, worry, subject, topic, hang-up, business, quaere",67
其,其,qí,"det.: its, his, her, their, it, this, that",68
讓,让,ràng,"allow, induce sb. to do sth.",69
此,此,cǐ,"this, det.: this, here",70
做,做,zuò,"make, do",71
再,再,zài,"again, once more, further(more), in a higher degree, and then, not (do sth.) before",72
所以,所以,suǒyǐ,"conj.: so, therefore, as a result",73
只,只,zhǐ,"only, merely",74
則,则,zé,"then, in that case",75
台灣,台湾,Táiwān,Taiwantáiwān(file),76
卻,却,què,"however, but, yet, indeed",77
並,并,bìng,"to be side by side, simultaneously, and",78
位,位,wèi,"location, digit, m.[general], , status, figure, throne, position, place, condition",79
想,想,xiǎng,"think, suppose, reckon, consider, want to, would like to, feel like (doing sth.)",80
去,去,qù,"to go, to leave, in order to",81
呢,呢,ne,particle: marking quesitons about subject already mentio,82
學生,学生,xuéshēng,"academic, pupil, pup, tutee, follower, scholar, schoolchild, schoolboy, alumnus, disciple, learner, scholastic, student",83
表示,表示,biǎoshì,"demonstrate, exhibit, prove, show, extend, manifest, express, stamp, signify, mark, witness, look, give, denote, evince, expression, bespeak, say, profess, mean, offer, utter, infer, indicate, represent, read, speak, refer, give tongue to, intend, be, shew, pay, stand_for, establish, stand for, present, render, betoken",84
到,到,dào,up until,85
公司,公司,gōngsī,"place of business, business organization, incorporation, establishment, business concern, office, concern, business establishment, business, enterprise, company, corporation",86
將,将,jiāng,introducing object of main verb,87
如果,如果,rúguǒ,conj.: if,88
社會,社会,shèhuì,"community, society, monde, social, public",89
看,看,kàn,"see, look at, watch, read, look upon, regard, look after, call on, visit",90
小,小,xiǎo,"small, little, petty, minor;young",91
天,天,tiān,"sky, heaven",92
因此,因此,yīncǐ,"conj.: therefore, consequently",93
新,新,xīn,"new, fresh, up-to-date",94
但是,但是,dànshì,"conj.: but, however, yet, still",95
它,它,tā,"they (neologism for {1ta1}[3] [4]), [4]), ), this, that, it",96
中,中,zhōng,"center, middle, interior",97
使,使,shǐ,"rarefy, piss_off, germinate, drench, blow_out, leave, cut_up, refract, run, dress_up, compose, shed, frizz, put_off, trot, send, strike, send (as envoy), peal, alienate, pull_in, tone_up, bring around, astound, sublease, wither, cripple, bed_down, address, rehearse, usage, warm, smell_out, throw, inflect, get_down, skunk, capsize, congeal, bowl_over, bring_on, unseat, ensure, amalgamate, pro",98
工作,工作,gōngzuò,"work, job",99
全,全,quán,"det.: all, Surname, whole, Quan",100
覺得,觉得,juéde,"imagine, guess, believe, reckon, suspect, suppose, think, listen, feel, consider, think_of, appear, conceive",101
使用,使用,shǐyòng,"use, employ, apply",102
這些,这些,zhèxiē,det.: these,103
裡,里,lǐ,inside,104
並,并,bìng,"actually, truly",105
由於,由于,yóuyú,conj.: owing/due/thanks to,106
時候,时候,shíhòu,"day, moment, (a point in) time, (duration of) time, time",107
知道,知道,zhīdào,"tell, have, ken, understand, infer, wis, learn, cognize, gather, know, be aware of, wise up, savvy, mind, realize",108
這樣,这样,zhèyàng,"so, such, like this, this way",109
一,一,yī,as soon as,110
認為,认为,rènwéi,"find, treat, deem, suppose, look_on, repute, discount, esteem, accredit, feel, account, calculate, estimate, take to be, reckon, expect, think, hold, trust, recognise, opine, sound off, adjudge, consideration, consider, regard as, look upon, believe_in, disbelieve, allow, conceive, regard, call, imagine, view, forecast, believe, suspect, rate, animadvert, look on, listen, speak up, figure, c",111
時間,时间,shíjiān,"moment, day, clock time, fourth_dimension, relativity, hour, duration, time, when, while, temporal, economy",112
事,事,shì,"responsibility, trouble, event, thing, worry, accident, case, involvement, work, affair, job, concern, business, toast, matter",113
過,过,guò,[aspect],114
向,向,xiàng,"to, towards",115
可能,可能,kěnéng,"probably, maybe",116
中國,中国,Zhōngguó,"Cathay, China, china",117
美國,美国,Měiguó,"House_of_Representatives, the United States of America, US, U.S.A., bench, Columbia, Yankeeland, U.S., United States, Democrat, Yankeedom, USA, America, United States of America",118
到,到,dào,"arrive, reach, go to",119
和,和,hé,together) with,120
幾,几,jǐ,"det.: how many, a few, several, some",121
系統,系统,xìtǒng,"lineage, filiation, scheme, pedigree, system, formation, superstructure, programme, organization, succession, tract, system of rules, organisation, program",122
政府,政府,zhèngfǔ,"sirkar, state, country, nation, governmental, body politic, government, administration, civil order, polity, commonwealth, regime, res publica, land",123
大家,大家,dàjiā,"sundry, great master, rich and influential family, pontiff, all of us, everyone, authority, master, distinguished family",124
國家,国家,guójiā,"sirkar, state, country, patria, a people, nationality, nation, republic, soli, body politic, clime, national, civil order, polity, commonwealth, land, res publica",125
許多,许多,xǔduō,"lot, scores, lots, sight, pot, heap, quantity, plenty, slews, ton, battalion, many, scads, tidy sum, power, spate, chunk, pile, crowd, vastness, batch, lashings, whole lot, mint, mound, pocketful, large number, trunkful, ream, mickle, great deal, flock, mass, slew, heaps, a lot of, piles, whole slew, mess, raff, slue, gobs, much, lotta, multitude, volume, wad, store, raft, tons, satiety, rafts, doze",126
生活,生活,shēnghuó,"life, existence, livelihood",127
跟,跟,gēn,"with, to, from",128
已經,已经,yǐjīng,already,129
大學,大学,dàxué,"university, college",130
研究,研究,yánjiù,"study, research",131
因,因,yīn,"conj.: because, as",132
本,本,běn,det.: this,133
二,二,èr,"det.: two, second",134
活動,活动,huódòng,"activity, maneuver, behavior",135
該,该,gāi,"det.: this, that",136
世界,世界,shìjiè,"mundane, creation, world, monde, orb, nature, domain",137
應,应,yīng,"should, ought to",138
四,四,sì,det.: four,139
希望,希望,xīwàng,"hope, wish",140
方式,方式,fāngshì,"path, plan, pattern, tenor, system, method, manner, style, way, guise, fashion, wise, means, shape, how, embodiment, agency, gate, mode, sort",141
內,内,nèi,inside,142
項,项,xiàng,m.[general],143
啊,啊,ā,particle: used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation,144
下,下,xià,under (condition/fact etc.),145
環境,环境,huánjìng,"circumambiency, environmental, circumstances, environment, entourage, surround, atmosphere, setting, surroundings, ambiance, condition, context, circumstance, surrounding, frame, milieu, ambient, consideration, environs, medium, ambience",146
一些,一些,yīxiē,"det.: some, a few, a little",147
必須,必须,bìxū,must,148
文化,文化,wénhuà,"civilization, literacy, acculturation, Kultur, vandalism, cultural, education, schooling, culture",149
高,高,gāo,"tall, high",150
孩子,孩子,háizi,"kid, issue, chap, daughter, children, sonny, son or daughter, child, spawn, boy, kipper, son",151
沒有,没有,méiyǒu,"not have, there is not, be without",152
不能,不能,bùnéng,"must/may/can not, not be allowed",153
如,如,rú,"according to, in accordance with, such as, as if, like, for example",154
開始,开始,kāishǐ,"begin, start",155
元,元,yuán,m.[standard],156
不同,不同,bùtóng,different,157
仍,仍,réng,"yet, anyway, still",158
網路,网路,wǎnglù,"WWW, net, network, Internet, meshwork, web, world wide web, mesh, reticulation",159
日本,日本,rìběn,"Nippon, Cipango, Nihon, Japan, japan, Japanese",160
用,用,yòng,with,161
中心,中心,zhōngxīn,"center, heart, hub",162
來,来,lái,"come, arrive",163
對,对,duì,right; correct,164
雖然,虽然,suīrán,"conj.: though, although",165
重要,重要,zhòngyào,"important, significant, major",166
地方,地方,dìfāng,"country, soil, terrain, part, clime, way, territory, room, neighbourhood, tinderbox, locality (as distinct from the central administrat, child, tract, province, position, respect, where, region, space, place, local",167
進行,进行,jìnxíng,"be in progress, go on, carry on/out",168
關係,关系,guānxì,"relation, bearing, impact, membership credentials, ""backdoor connections""",169
市場,市场,shìchǎng,"bourse, bazar, marketplace, grocery store, agora, bazaar, securities industry, grocery, piazza, plaza, rialto, mart, pitch, market",170
太,太,tài,"excessively, too, extremely, very",171
老師,老师,lǎoshī,"rabbi, professor, swami, instructor, teacher, mast",172
提供,提供,tígōng,"feed, offer, put_up, afford, proffer, set_up, capitalize, bring_forward, sponsor, extend, ply, provision, sustain, equip, supply, cough_up, bear, render, furnish, cater, billet, provide",173
學校,学校,xuéxiào,"seminary, schoolhouse, educational institution, school, institution",174
應該,应该,yīnggāi,"should, ought to",175
指出,指出,zhǐchū,"point, point_out, catch_out, bespeak, indicate, denote, point out (that), note, show, designate, point out",176
經濟,经济,jīngjì,"economy, financial condition, income",177
其他,其他,qítā,"det.: others, the rest, other, else",178
家,家,jiā,"family, household, home, house",179
發展,发展,fāzhǎn,"develop, expand, grow",180
教育,教育,jiàoyū,education,181
成為,成为,chéngwéi,"find, join, comprise, turn to, commemorate, sample, entomb, come_up, commence, get hold, learn, add up, necessitate, run, make up, constitute, make, form, come, amount, represent, fall, presage, change, be, turn, turn into, become, line up, come up, shape, portend, foretell, get",182
多,多,duō,"many, much, more, more than the correct/required number, excessive, too much, much/far more",183
非常,非常,fēicháng,"extraordinary, unusual, special, very, extremely, highly",184
便,便,biàn,"as early as, soon afterwards, little as, as early, and then, and so, so, as early/little as, as little as, then, in that case",185
方面,方面,fāngmiàn,"side, aspect, sector, part, light, facet, behalf, way, respect, direction, bearing, field, phase, sphere, angle, hand",186
很多,很多,hěnduō,det.:,187
吃,吃,chī,"feed, have, be subject to, absorb, chow, live on, eat, have one's meals, be a strain, exhaust, fare, take in, live off, annihilate, wipe out, partake, suffer, ingest, consume, graze, lunch, manducate, incur, take, get, use up, make, taste, soak up",188
然後,然后,ránhòu,"therewith, and so, and_then, and then, thereupon, after that, so, then, with that",189
未,未,wèi,"or not (at end of sentence), have not yet, or not, not",190
發現,发现,fāxiàn,"find, discover",191
電腦,电脑,diànnǎo,"electronic computer, computery, data processor, information processing system, computer",192
一樣,一样,yīyàng,"same, equal, similar",193
而且,而且,érqiě,"conj.: furthermore, and",194
心,心,xīn,"heart, mind, feeling, center, core",195
不過,不过,búguò,"conj.: but, however, only",196
無法,无法,wúfǎ,"nohow, unable to, unable, cannot",197
企業,企业,qǐyè,"proposition, business enterprise, business organization, business concern, concern, commercial enterprise, endeavour, endeavor, industry, business, project, corporation, enterprise",198
正,正,zhèng,"precisely, punctually",199
服務,服务,fúwù,"be in the service of, serve",200
較,较,jiào,"rather, quite, relatively, more",201
不會,不会,búhuì,won't,202
臺灣,台湾,táiwān,Taiwan,203
曾,曾,céng,"once, ever, before",204
嗎,吗,mā,particle: calling for agreement or disagreement,205
空間,空间,kōngjiān,"elbow room, allowance, margin, roomage, open air/sky/space, road, leeway, way, open air, sheets, room, tolerance, opening, clear, sky, spacial, interspace, vacuity, spatial, dimension, open sky/space, space, place, vacuum",206
看到,看到,kàndào,"view, receive, ken, observe, lamp, catch, see, take in, watch, chatter away, lay_eyes_on, boast, brag, shoot the breeze, spy, catch sight of, catch sight of",207
五,五,wǔ,det.: five,208
如何,如何,rúhé,how,209
國內,国内,guónèi,"interior (of country), interior, home, intestine, internal, domestic",210
們,们,men,pluralizer after pronouns and nouns of persons,211
無,无,wú,"not have, there is not",212
對於,对于,duìyú,"in regard) to, toward, at, for",213
以及,以及,yǐjí,"conj.: as well as, along with, and",214
之後,之后,zhīhòu,"later, behind, at the back of, after",215
可是,可是,kěshì,"conj.: but, yet, however",216
當,当,dāng,"when, while",217
人員,人员,rényuán,"strength, personnel, force, staff",218
比,比,bǐ,compared with,219
先,先,xiān,"earlier, in advance, before",220
產品,产品,chǎnpǐn,"baby, brand, output, product, produce, end product, merchandise, fruitage, growth, manufacture, wares, production",221
資訊,资讯,zīxùn,"stuff, message, information, news, info",222
資料,资料,zīliào,"food, source, info, means, data, information, material, datum, data point, matter",223
比較,比较,bǐjiào,"relatively, fairly",224
先生,先生,xiānshēng,"doctor of Chinese medicine, Don, mulla, Ms., sir., teacher, gentleman, gospodin, Signor, signor, fortune-teller, babu, baboo, Herr, Mister, bey, mister, bwana, husband, siree, buckra, sirrah, senor, guv, sahib, Mr., rabbi, don, signore, Dan, sir, m'sieur, effendi, Tuan, baas, Monsieur, lording, monsieur, doctor, Mr, milord, Mynheer, signior, esquire, bookkeeper, Senor, rabboni, Senhor, sieur, sen",225
地,地,dì,"the earth, land, soil, fields, ground, place, position, background, distance",226
除了,除了,chúle,"except, besides",227
大陸,大陆,dàlù,Ch. mainland,228
需要,需要,xūyào,"need, want, require, demand",229
像,像,xiàng,be like,230
在,在,zài,indicating an action in progress,231
給,给,gěi,"give, give to",232
歲,岁,suì,"year (for crops), m.[standard], , year of age, year (of age), year, annum, year for crops",233
請,请,qǐng,"request, ask (a favor), engage, hire (teacher/etc.), Please...",234
月,月,yuè,moon,235
些,些,xiē,m.[proximation],236
名,名,míng,m.[general],237
另,另,lìng,det.: another,238
若,若,ruò,"conj.: if, as if",239
亦,亦,yì,"also, too",240
地區,地区,dìqū,"section, country, area, latitude, zone, terrain, parts, locality, sector, province, prefecture, region, district, faubourg",241
技術,技术,jìshù,"mechanics, know-how, prowess, science, Minerva, superior skill, art, competence, technology, craft, craftsmanship, skill, education, technique, artistry, engineering, technological, equipment, technical",242
至,至,zhì,"to, until, till",243
特別,特别,tèbié,"unusual, specially",244
其實,其实,qíshí,"as a matter of fact, actually, in fact",245
國際,国际,guójì,international,246
不要,不要,búyào,"never, noway, don't want, don't (do sth.)",247
發生,发生,fāshēng,"happen, occur, take place",248
參加,参加,cānjiā,"join, attend, take part in, give (advice/etc.)",249
一定,一定,yīdìng,must,250
其中,其中,qízhōng,"among, of them, in it, among them, which, them, det.: it, in, in which",251
問,问,wèn,"ask, examine, question, interrogate",252
台北,台北,táiběi,"capital of Nationalist China, capital of Republic of China on Taiwan, Taipei",253
包括,包括,bāokuò,"consist_of, consist of, subtend, embrace, comprise, incorporate, embody, involve, count, subsume, take_in, comprehend, incorporation, include, comprize, run, cover, package, consist in",254
講,讲,jiǎng,"discourse, utter, talk, negotiation, make clear, negotiate, parley, pay attention to, speak, syllable, discuss, explain, tell, be particular about, explanation, interpretation, interpret, relate, discussion, stress, mouth, say, remark, verbalize",255
造成,造成,zàochéng,"make_for, give rise to, create, set_up, strike, creation, cause, contribute, bring_about, procure, give, bring about, cut_out, necessitate, shape, present, bring_forth, generate, yield, make, breed",256
看,看,kàn,"think, consider",257
像,像,xiàng,"be like, resemble",258
常,常,cháng,"often, usually, frequently",259
即,即,jí,"at present, in the immediate future, then, promptly, at once",260
喜歡,喜欢,xǐhuān,"like, love, be fond of, be happy/elated",261
去,去,qù,"go, go to",262
沒,没,méi,not,263
出現,出现,chūxiàn,"appear, arise, emerge",264
政治,政治,zhèngzhì,"paternalism, trouble, government, policy, political relation, political science, polity, politics, political affairs, political",265
話,话,huà,"words, thing, language, tongue, talk, speech, spoken_language, conversation, utterance, expression, story, tale, saying, natural language, sayings, word",266
走,走,zǒu,"scram, travel, foot, go away, evaporate, ankle, waltz, step, bugger off, etc., go through, leave, leak, run, buzz off, leg, pad, fork, visit, go, escape, lose flavor, work, call on, strike, sashay, trace, pursue, gang, lose shape/etc., get_along, come_along, walk, hoof it, lose flavor/shape/etc., leg it, let out, shape, drive, cover, take, get, hoof, move",267
單位,单位,dānwèi,"department, unit, denomination, module, building block, unit of measurement, monad, unit (in measurement or organization)",268
一直,一直,yīzhí,"e'er, away, continuously, all the way, right, forever, all_along, always, the whole way, all along, straight, slap, through, ever, evermore",269
吧,吧,ba,particle: used to show mild imperative or uncertainty,270
是否,是否,shìfǒu,"whether or not, is it so or not",271
當然,当然,dāngrán,"certainly, of course",272
整,整,zhěng,det.: exact,273
處理,处理,chǔlǐ,"handle, deal with, dispose of, process",274
歷史,历史,lìshǐ,"past records, historical, history",275
了解,了解,liǎojiě,"understand, comprehend, find out, acquaint oneself with",276
那,那,nà,"then, in that case",277
怎麼,怎么,zěnme,how,278
機會,机会,jīhuì,"scouth, occasion, good luck, hap, liberty, fortune, opportunity, chance, joss, hazard, happy chance, probability, luck, scope, room, break, turn, opening",279
家,家,jiā,m.[general],280
聽,听,tīng,"hear, list, hearken, obey, obedience, listen, heed, administer, let, allow, hark",281
所有,所有,suǒyǒu,det.: all,282
只要,只要,zhǐyào,"conj.: so long as, provided",283
朋友,朋友,péngyou,"amigo, connections, kith, friend, boy, crony, ami, boy/girl friend, companion, mate, boy friend or girl friend, compadre, boy friend, Mac, paisano, matey, old_boy, sport, folks, pard, hearty, Kamerad, cocker, cobber, girl friend, pardner, company",284
令,令,lìng,"make, cause",285
甚至,甚至,shènzhì,"even (to the point of), so much so that",286
用,用,yòng,"use, employ, apply, eat, drink, spend",287
真,真,zhēn,"really, truly, indeed, clearly",288
六,六,liù,det.: six,289
呀,呀,ya,"particle: replacing 啊 when preceding word ends in a, e, i, o, or (y)u; used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation",290
情況,情况,qíngkuàng,"event, things, state of affairs, circumstantiality, case, circumstances, way, plight, experimental condition, streak, military situation, matter, condition, mood, circumstance, context, occasion, thing, instance, affair, shape, situation, juncture, consideration",291
還是,还是,háishì,"still, nevertheless",292
錢,钱,qián,"copper coin, cash, money, fund, sum",293
方法,方法,fāngfǎ,"know-how, plan, attack, system, stepping-stone, manner, method, gateway, idea, measure, way, guise, key, wise, quomodo, plan of attack, tack, machinery, process, avenue, modus, how, means, channel, gate, approach, agency, gamesmanship, mode, medium, sort",294
點,点,diǎn,m.[proximation],295
任何,任何,rènhé,"aught, det.: any",296
經驗,经验,jīngyàn,experience,297
藝術,艺术,yìshù,"beaux-arts, aesthetical, artistic production, artistic, ars, art, academy, aesthetic, artistic creation, skill, craft, artistry, esthetic",298
你們,你们,nǐmen,"you, you (plural), you-all",299
十,十,shí,det.: ten,300
主要,主要,zhǔyào,"main, chief, principal, major",301
媽媽,妈妈,māmā,"mummy, mammy, ma, mother, mamma, mum, mommy, female parent, mom, Mama, mater, mama, momma",302
增加,增加,zēngjiā,"increase, raise, add",303
提出,提出,tíchū,"put forward, pose, raise",304
為什麼,为什么,wèishéme,"why, why?, how come, why is it that?, whereat, whereto",305
以,以,yǐ,"conj.: in order to, so as to",306
您,您,nín,you,307
計畫,计画,jìhuà,"plan, project, program",308
作,作,zuò,"do, make, rise, write, compose, pretend, affect, feign",309
利用,利用,lìyòng,"use, utilize, take advantage of, exploit",310
東西,东西,dōngxī,"thing, creature",311
在,在,zài,"exist, live, be at/in/on, depend on, rest with",312
條,条,tiáo,"bar, item, short note, a long narrow piece, streak, clause, stripe, sth. long and narrow, filet, m.[general], , article, strip, assize, twig, ingot, slip",313
設計,设计,shèjì,"design, plan",314
找,找,zhǎo,"look for, seek, call on, approach",315
之間,之间,zhījiān,"among, between",316
成長,成长,chéngzhǎng,"grow up, mature",317
能夠,能够,nénggòu,"can, able, would, may",318
決定,决定,juédìng,"decide, resolve, make up one's mind, determine",319
學習,学习,xuéxí,"study, learn, emulate",320
誰,谁,shéi,"who, someone, anyone",321
見,见,jiàn,"see, be exposed to, become visible, call on, refer to, meet with, appear to be, appear, vide, catch sight of, meet",322
半,半,bàn,det.: half,323
時代,时代,shídài,"day, period, a period in one's life, epoch, present time, historical period, time, chapter, period in one's life, modern times, historic period, contemporary world, times, era, modern world, age",324
完成,完成,wánchéng,"fill in, finish out, fulfil, practice, complete, finish, encompass, clear_up, top_off, cleave, top off, accomplishment, make out, effect, perfective, fulfill, go through, exercise, discharge, fill out, completion, end, run, bring ... to fruition, round_out, achieve, execute, round out, make, cap off, accomplish, practise, follow through, come, finalize, fulfilment, dispatch, bring ...",325
帶,带,dài,"look after, raise",326
相當,相当,xiāngdāng,"quite, fairly, considerably",327
同學,同学,tóngxué,"class fellow, fellow student, condisciple, classmate, schoolmate, schoolfellow, form of address used in speaking to a student",328
件,件,jiàn,"correspondence, paper, document, bit, m.[general], , single item, letter, piece",329
能力,能力,nénglì,"department, potency, ability, acquisition, acquirement, capacity, performance, oomph, sufficiency, energy, competence, accomplishment, size, might, faculty, hand, coequal, efficiency, inner resources, capability, giftie, attainment, capableness, zip, skill, competency, power",330
別人,别人,biérén,"others, other people, another person",331
生命,生命,shēngmìng,"breath, god, head, anima, days, organism, blood, life, living thing, skin, longevity, being, vital, life form",332
下,下,xià,"below, under, underneath",333
來,来,lái,time (since),334
場,场,cháng,m.[event],335
會議,会议,huìyì,"synod, moot, conference, board, convocation, soviet, congress, talks, indaba, negotiation, junta, group discussion, convention, meeting place, session, council, rendezvous, colloquy, coming together, powwow, seance, meeting, forum, consultation, roll-up, get-together, assembly",336
容易,容易,róngyì,easy,337
開發,开发,kāifā,"develop, open up, exploit",338
民眾,民众,mínzhòng,"civil, crowd, masses, populace, rank_and_file, the masses, the masses of the people, the populace, demos, mob, multitude, plebs, commons, the common people, the people, million, public",339
事情,事情,shìqíng,"proposition, pie, shebang, thing, affair, occasions, undertaking, concern, question, business, schmear, matter",340
書,书,shū,"volume, document, style of calligraphy, book, script, letter",341
事實,事实,shìshí,"mood, circumstance, fact, factual, reality, verity, case, deed, sooth, troth, actuality, truth, matter, matter of fact",342
有關,有关,yǒuguān,be related,343
自,自,zì,"from, since",344
組織,组织,zǔzhī,"tissue, nerve, weave, organization, organized system",345
言,言,yán,"say, talk, speak",346
多,多,duō,"more than the correct/required number, much/far more",347
愛,爱,ài,"love, like, be fond of, be keen on, cherish, be apt to",348
建立,建立,jiànlì,"establish, set up, found",349
相關,相关,xiāngguān,"cognate, relational, interrelate, associated, be interrelated, relevant, related, be mutually related",350
均,均,jūn,"without exception, all",351
產生,产生,chǎnshēng,"come into being, produce, engender, emerge",352
多,多,duō,"det.: more than, much more",353
業者,业者,yèzhě,"dealer, interest",354
解決,解决,jiějué,"solve, resolve, settle, dispose of, finish off",355
完全,完全,wánquán,"completely, fully, wholly, absolutely",356
的話,的话,dehuà,conj.: if,357
接受,接受,jiēshòu,"receive (honors, have, receive, acknowledge, sweep up, espouse, etc.), come to grips, adopt, embrace, greet, welcome, hook on, seize on, take up, accede, taken, entertain, latch on, buy, fasten on, swallow, imbibe, accept, receive (honors/etc.), undergo, get to grips, take, adapt, acceptance, thole",358
知,知,zhī,"tell, notify, inform, be expert in, know, sense, be aware of, administration, notification, administer, be in charge of, realize",359
約,约,yuē,"about, around",360
一般,一般,yībān,"general, ordinary, common",361
推動,推动,tuīdòng,"push forward, promote",362
過程,过程,guòchéng,"unconscious process, mechanism, process, act, round, course",363
管理,管理,guǎnlǐ,"manage, supervise, take care of",364
功能,功能,gōngnéng,"functional, niche, function, competence, capacity, anatomy",365
手,手,shǒu,hand,366
打,打,dǎ,"generalized verb of doing with specific meaning determined by its object, strike, hit, fight, construct, forge, mix",367
水,水,shuǐ,"water, H2O, liquid, bubble, a general term for rivers, lakes, seas, etc., Shiu, waters, aqueous, Aquarius, river, Surname, blister, drink, eau, aqua",368
要求,要求,yāoqiú,"request, demand",369
小朋友,小朋友,xiǎopéngyǒu,"child (adult address to child), little boy, children, little boy/girl, girl, little girl, little boy or girl, child",370
教授,教授,jiàoshòu,professor,371
難,难,nán,"make difficulties, take to task, put ... into a difficult position, disagreeable, make difficult, unpleasant, hard, difficult, troublesome, blame",372
我國,我国,wǒguó,our country,373
告訴,告诉,gàosù,"tell, preach, notify, impart, inform, represent, apprize, send word, share, advise, give notice, apprise, assure, let know",374
內容,内容,nèiróng,"subject_matter, content, cognitive content, internal, contents, mental object, meat, substance, matter, lining",375
結果,结果,jiéguǒ,"result, outcome, consequence",376
調查,调查,diàochá,"investigate, look into, survey",377
家庭,家庭,jiātíng,"hearthstone, background, fireside, establishment, household, hearth, domestic, hearthside, menage, home, family unit, family, house",378
成立,成立,chénglì,"found, establish, be tenable, hold water",379
選擇,选择,xuǎnzé,"select, opt",380
經營,经营,jīngyíng,"manage, run, engage in",381
然而,然而,ránér,"conj.: even so, but",382
父母,父母,fùmǔ,"parental, parents, father and mother, folks",383
寫,写,xiě,"description, bewrite, direct, describe, pencil, draw, paint, inscribe, write, depiction, write_out, throw_off, depict, address, author, screeve, word, compose",384
人類,人类,rénlèi,"man, wight, human_being, human, human race, mankind, individual, human species, Homo_sapiens, populace, creature, hominid, world, mortality, microcosm, humans, humanitarianism, humanity, humanness, human beings/species, people, species, humankind, human beings, public, mortal",385
至於,至于,zhìyū,as for/to,386
買,买,mǎi,"pick up, invest, hire, buy, purchase, put_down, trade, get",387
尤其,尤其,yóuqí,especially,388
配合,配合,pèihé,"coordinate, cooperate",389
進入,进入,jìnrù,"go_into, get_in, debouch, get in, go into, move into, come_into, pass, step_in, lapse, get_into, set in, go in, get into, kick in, penetrate, intromission, pierce, come_in, come in, enter, entry, sink, impenetrate",390
例如,例如,lìrú,"for instance/example, e.g., such as",391
得,得,děi,"should be, need",392
討論,讨论,tǎolùn,"to discuss, to take something up with someone, to talk about",393
依,依,yī,"according to, judging by",394
作品,作品,zuòpǐn,"writing, musical composition, whole kit and caboodle, works (of literature, artwork, kit and caboodle, product, whole works, creation, full treatment, kit and boodle, whole kit and boodle, works (of literature/art), composition, thing, piece of music, workpiece, output, art), written material, opus, whole shebang, whole caboodle, production, whole kit, piece, workmanship, wo",395
